Ranking,PlayerName,Games,Total Scoring,Average,IQR
1.0,Patrick Mahomes II,45,1493.55,33.0,17.4
3.5,Justin Herbert,31,998.65,32.0,16.4
3.5,Deshaun Watson,31,976.65,32.0,16.5
3.5,Lamar Jackson,42,1349.0,32.0,17.6
3.5,Dak Prescott,36,1158.3,32.0,19.8
6.5,Aaron Rodgers,47,1458.8,31.0,18.6
6.5,Josh Allen,48,1474.15,31.0,19.5
8.5,Kyler Murray,45,1328.3,30.0,16.2
8.5,Tom Brady,48,1458.2,30.0,20.1
10.5,Drew Brees,23,675.15,29.0,13.0
10.5,Russell Wilson,45,1319.35,29.0,14.3
12.5,Matthew Stafford,40,1108.45,28.0,14.3
12.5,Joe Burrow,26,731.65,28.0,14.5
14.0,Kirk Cousins,46,1225.45,27.0,13.2
15.0,Ryan Tannehill,43,1130.8,26.0,11.1
16.5,Matt Ryan,47,1152.95,25.0,14.7
16.5,Jameis Winston,25,630.4,25.0,20.6
18.0,Derek Carr,48,1145.05,24.0,15.1
21.0,Gardner Minshew II,25,581.05,23.0,9.4
21.0,Ben Roethlisberger,32,740.2,23.0,12.8
21.0,Carson Wentz,44,1015.85,23.0,13.3
21.0,Philip Rivers,32,730.0,23.0,13.5
21.0,Jared Goff,44,1005.05,23.0,17.4
24.5,Teddy Bridgewater,36,783.35,22.0,12.1
24.5,Ryan Fitzpatrick,25,562.35,22.0,18.6
26.5,Taylor Heinicke,16,330.6,21.0,10.9
26.5,Jimmy Garoppolo,36,773.6,21.0,13.8
29.5,Baker Mayfield,46,930.8,20.0,11.4
29.5,Tua Tagovailoa,22,443.9,20.0,13.2
29.5,Daniel Jones,38,767.1,20.0,13.5
29.5,Mac Jones,16,320.9,20.0,14.6
33.5,Andy Dalton,31,594.3,19.0,12.5
33.5,Mitchell Trubisky,28,526.45,19.0,19.5
33.5,Cam Newton,24,453.15,19.0,22.1
33.5,Jalen Hurts,29,542.05,19.0,25.8
36.0,Sam Darnold,36,634.3,18.0,14.6
38.5,Nick Mullens,11,186.8,17.0,8.1
38.5,Drew Lock,23,396.4,17.0,12.5
38.5,Nick Foles,14,238.0,17.0,14.6
38.5,Kyle Allen,19,326.0,17.0,15.2
41.5,Joe Flacco,15,238.5,16.0,14.2
41.5,Davis Mills,12,196.85,16.0,20.2
43.5,Trevor Lawrence,16,247.5,15.0,12.6
43.5,Zach Wilson,12,184.45,15.0,16.2
45.5,Mason Rudolph,16,222.7,14.0,17.4
45.5,Justin Fields,12,163.2,14.0,19.5
47.5,Dwayne Haskins,16,200.8,13.0,16.8
47.5,Case Keenum,14,183.65,13.0,18.7
50.0,Marcus Mariota,14,164.45,12.0,19.2
50.0,Brandon Allen,11,129.75,12.0,19.3
50.0,Jacoby Brissett,35,423.9,12.0,19.5
52.5,Colt McCoy,10,95.45,10.0,12.0
52.5,Mike Glennon,13,134.3,10.0,17.0
54.0,Taysom Hill,39,314.1,8.0,9.2
