Ranking,PlayerName,Games,Total Scoring,Average,IQR
1.0,Tom Brady,16,549.8,34.0,23.4
2.0,Josh Allen,16,535.3,33.0,21.7
4.0,Aaron Rodgers,15,479.35,32.0,8.2
4.0,Kyler Murray,13,410.55,32.0,12.2
4.0,Justin Herbert,16,515.05,32.0,16.6
6.0,Patrick Mahomes II,16,498.2,31.0,17.8
7.0,Joe Burrow,16,478.95,30.0,14.2
8.5,Matthew Stafford,16,470.9,29.0,13.7
8.5,Dak Prescott,15,434.1,29.0,21.3
10.0,Kirk Cousins,15,424.45,28.0,16.8
11.5,Jalen Hurts,15,404.6,27.0,7.8
11.5,Lamar Jackson,12,328.2,27.0,12.0
13.5,Derek Carr,16,377.7,24.0,16.2
13.5,Russell Wilson,13,317.85,24.0,17.2
15.0,Carson Wentz,16,362.7,23.0,11.8
16.0,Jimmy Garoppolo,14,310.7,22.0,6.6
19.0,Ryan Tannehill,16,331.95,21.0,8.6
19.0,Teddy Bridgewater,14,297.9,21.0,9.9
19.0,Taylor Heinicke,15,313.75,21.0,11.4
19.0,Tua Tagovailoa,12,247.9,21.0,12.9
19.0,Daniel Jones,11,228.5,21.0,13.8
23.5,Ben Roethlisberger,15,306.9,20.0,9.0
23.5,Jared Goff,13,254.85,20.0,12.1
23.5,Matt Ryan,16,316.9,20.0,13.3
23.5,Mac Jones,16,320.9,20.0,14.6
26.0,Baker Mayfield,14,250.1,18.0,9.8
27.0,Sam Darnold,11,184.9,17.0,20.6
28.0,Davis Mills,12,196.85,16.0,20.2
29.5,Trevor Lawrence,16,247.5,15.0,12.6
29.5,Zach Wilson,12,184.45,15.0,16.2
31.0,Justin Fields,12,163.2,14.0,19.5
32.0,Taysom Hill,10,128.65,13.0,19.0
33.0,Jacoby Brissett,10,101.05,10.0,18.2
