PlayerName,Games,Total Scoring,Average,IQR
Christian McCaffrey,26,670.6,26.0,11.0
Derrick Henry,39,968.3,25.0,17.8
Dalvin Cook,40,891.0,22.0,12.5
Jonathan Taylor,31,677.8,22.0,13.2
Alvin Kamara,41,807.6,20.0,9.9
Najee Harris,16,297.8,19.0,9.1
Austin Ekeler,41,730.5,18.0,8.4
Aaron Jones,45,813.5,18.0,9.9
Elijah Mitchell,10,180.6,18.0,12.4
Nick Chubb,41,750.4,18.0,15.3
Ezekiel Elliott,47,786.7,17.0,11.8
Joe Mixon,38,652.8,17.0,14.4
Josh Jacobs,42,658.6,16.0,9.6
Chris Carson,31,483.8,16.0,9.8
Leonard Fournette,41,636.7,16.0,10.7
James Robinson,28,431.7,15.0,11.4
James Conner,37,547.7,15.0,11.7
Saquon Barkley,27,403.9,15.0,12.2
David Montgomery,43,643.2,15.0,14.6
Antonio Gibson,29,406.4,14.0,13.4
D'Andre Swift,25,360.9,14.0,13.6
Clyde Edwards-Helaire,23,301.0,13.0,8.1
Kenyan Drake,41,512.6,13.0,9.1
Damien Harris,25,329.0,13.0,9.3
Kareem Hunt,32,414.3,13.0,9.6
Miles Sanders,40,501.3,13.0,10.1
Melvin Gordon III,42,561.0,13.0,10.7
Todd Gurley II,30,393.4,13.0,11.2
Javonte Williams,16,199.1,12.0,7.2
J.K. Dobbins,15,174.9,12.0,9.4
Michael Carter,13,149.3,11.0,7.2
Rhamondre Stevenson,11,120.7,11.0,8.4
Devonta Freeman,34,359.1,11.0,8.9
Raheem Mostert,24,273.2,11.0,10.5
Myles Gaskin,33,347.2,11.0,10.9
Mark Ingram II,39,419.9,11.0,11.4
Marlon Mack,20,228.2,11.0,13.0
Cam Akers,11,111.8,10.0,5.6
Jordan Howard,23,222.1,10.0,5.8
Devin Singletary,44,461.2,10.0,7.7
Sony Michel,40,405.1,10.0,8.2
Chase Edmonds,37,371.4,10.0,10.0
Ronald Jones II,45,446.8,10.0,11.8
David Johnson,36,377.0,10.0,11.8
Jeff Wilson Jr.,25,257.4,10.0,12.1
Damien Williams,19,187.1,10.0,13.5
Darrell Henderson Jr.,34,327.2,10.0,13.7
James White,32,287.3,9.0,6.0
Latavius Murray,44,391.0,9.0,6.4
Mike Davis,35,328.3,9.0,7.0
Jamaal Williams,40,375.1,9.0,8.0
Le'Veon Bell,33,306.5,9.0,8.7
Chuba Hubbard,15,129.8,9.0,9.2
D'Onta Foreman,13,117.4,9.0,9.2
Adrian Peterson,35,324.1,9.0,9.6
Rex Burkhead,34,291.6,9.0,9.6
AJ Dillon,25,223.6,9.0,9.6
Rashaad Penny,21,195.6,9.0,12.5
Tarik Cohen,19,146.7,8.0,4.0
Gus Edwards,32,245.5,8.0,5.6
Phillip Lindsay,40,333.0,8.0,6.5
Tony Pollard,44,362.3,8.0,6.7
Kerryon Johnson,21,157.8,8.0,7.2
Carlos Hyde,36,305.7,8.0,7.7
Duke Johnson Jr.,31,258.4,8.0,8.0
Zack Moss,25,204.2,8.0,8.1
Boston Scott,33,278.9,8.0,8.8
J.D. McKissic,42,339.7,8.0,9.0
Darrel Williams,38,292.8,8.0,9.4
