PlayerName,Games,Total Scoring,Average,IQR
Derrick Henry,8,215.0,27.0,24.3
Jonathan Taylor,16,402.8,25.0,11.2
Austin Ekeler,15,296.4,20.0,7.8
Alvin Kamara,12,224.0,19.0,8.5
Najee Harris,16,297.8,19.0,9.1
Joe Mixon,16,303.1,19.0,16.7
Leonard Fournette,14,245.1,18.0,9.4
Dalvin Cook,12,220.1,18.0,11.2
Elijah Mitchell,10,180.6,18.0,12.4
Nick Chubb,13,233.7,18.0,16.9
James Conner,14,233.6,17.0,10.7
Christian McCaffrey,7,118.9,17.0,13.6
David Montgomery,12,191.6,16.0,13.1
Ezekiel Elliott,16,238.8,15.0,8.3
Cordarrelle Patterson,15,227.8,15.0,10.1
Damien Harris,14,215.9,15.0,10.6
Aaron Jones,15,221.1,15.0,11.4
D'Andre Swift,12,183.7,15.0,14.4
Josh Jacobs,14,195.7,14.0,7.0
Darrell Henderson Jr.,12,163.8,14.0,9.3
Antonio Gibson,15,203.2,14.0,12.2
Kareem Hunt,8,104.8,13.0,12.8
Javonte Williams,16,199.1,12.0,7.2
D'Onta Foreman,8,98.7,12.0,8.0
Melvin Gordon III,15,186.1,12.0,8.2
Clyde Edwards-Helaire,10,118.9,12.0,10.2
James Robinson,14,173.8,12.0,13.6
Rashaad Penny,9,112.3,12.0,22.7
Michael Carter,13,149.3,11.0,7.2
Chase Edmonds,12,134.4,11.0,7.5
Boston Scott,9,98.8,11.0,7.6
Devin Singletary,16,173.5,11.0,7.8
AJ Dillon,16,176.7,11.0,8.2
Darrel Williams,16,183.0,11.0,8.2
Rhamondre Stevenson,11,120.7,11.0,8.4
Saquon Barkley,12,137.8,11.0,9.8
Miles Sanders,12,119.9,10.0,3.2
Jordan Howard,7,70.1,10.0,4.8
Tony Pollard,15,153.1,10.0,5.4
Jamaal Williams,12,115.1,10.0,5.8
Myles Gaskin,16,161.8,10.0,8.3
Sony Michel,16,153.1,10.0,8.4
Jeff Wilson Jr.,6,58.9,10.0,8.4
J.D. McKissic,11,111.2,10.0,9.8
Dontrell Hilliard,6,62.6,10.0,10.9
Rex Burkhead,11,97.7,9.0,7.6
Devonta Freeman,15,138.7,9.0,7.7
Chuba Hubbard,15,129.8,9.0,9.2
Devontae Booker,15,134.2,9.0,10.0
D'Ernest Johnson,11,85.3,8.0,6.2
Mark Ingram II,14,109.1,8.0,6.8
Mike Davis,16,127.1,8.0,7.0
Kenyan Drake,12,93.8,8.0,7.6
Zack Moss,12,98.4,8.0,7.9
Derrick Gore,7,53.5,8.0,9.9
Alexander Mattison,15,124.2,8.0,11.9
Alex Collins,11,76.1,7.0,5.4
Latavius Murray,13,87.9,7.0,5.6
Ty'Son Williams,6,40.4,7.0,7.0
Ty Johnson,14,104.1,7.0,7.1
Kenneth Gainwell,14,91.8,7.0,7.2
Brandon Bolden,15,85.7,6.0,4.5
Nyheim Hines,16,91.3,6.0,4.8
Peyton Barber,9,53.4,6.0,4.9
Damien Williams,8,45.9,6.0,7.0
Justin Jackson,12,77.7,6.0,7.1
Khalil Herbert,13,83.7,6.0,8.4
Matt Breida,7,39.8,6.0,9.4
Trey Sermon,5,30.9,6.0,9.9
Samaje Perine,14,75.2,5.0,3.3
Jeremy McNichols,13,63.7,5.0,3.3
Ke'Shawn Vaughn,5,26.1,5.0,4.1
David Johnson,12,64.4,5.0,4.4
Tevin Coleman,10,53.3,5.0,4.4
Dare Ogunbowale,8,39.8,5.0,4.4
Ameer Abdullah,13,62.2,5.0,5.2
DeeJay Dallas,10,52.7,5.0,5.8
Ronald Jones II,15,80.3,5.0,6.8
Giovani Bernard,10,48.4,5.0,7.0
Alec Ingold,5,19.8,4.0,0.7
Demetric Felton,9,32.7,4.0,0.8
Malcolm Brown,6,24.3,4.0,1.8
JaMycal Hasty,9,34.0,4.0,2.1
Chris Evans,8,29.4,4.0,2.2
Travis Homer,11,46.6,4.0,3.3
Elijhaa Penny,9,31.8,4.0,3.4
Jaret Patterson,13,52.6,4.0,3.6
Kyle Juszczyk,15,59.6,4.0,4.2
Phillip Lindsay,13,47.1,4.0,4.3
Carlos Hyde,10,43.0,4.0,4.4
Le'Veon Bell,7,29.2,4.0,6.0
J.J. Taylor,5,16.4,3.0,1.2
Jerick McKinnon,6,17.6,3.0,1.3
Salvon Ahmed,11,38.0,3.0,1.6
Royce Freeman,11,35.2,3.0,1.8
Eno Benjamin,6,20.1,3.0,1.8
Marlon Mack,5,14.7,3.0,2.1
Wayne Gallman Jr.,6,15.8,3.0,2.9
Ty Montgomery,9,22.8,3.0,4.9
Godwin Igwebuike,7,21.1,3.0,5.5
Michael Burton,9,14.0,2.0,0.3
Qadree Ollison,5,9.8,2.0,0.9
Alex Armah Jr.,5,9.2,2.0,1.1
Jonathan Ward,5,8.4,2.0,1.3
Jason Cabinda,5,12.2,2.0,1.4
Patrick Ricard,7,16.9,2.0,1.6
C.J. Ham,14,23.9,2.0,1.7
Kene Nwangwu,5,9.8,2.0,1.8
Keith Smith,8,13.3,2.0,2.0
Jalen Richard,7,14.2,2.0,2.0
Joshua Kelley,8,15.8,2.0,2.1
Larry Rountree III,8,18.7,2.0,3.0
Tony Jones Jr.,9,22.1,2.0,3.2
Gabe Nabers,5,4.3,1.0,0.8
Benny Snell Jr.,12,12.3,1.0,1.0
Kalen Ballage,6,6.5,1.0,1.0
