Ranking,PlayerName,Games,Total Scoring,Average,IQR
1.0,Derrick Henry,8,215.0,27.0,24.3
2.0,Jonathan Taylor,16,402.8,25.0,11.2
3.0,Cooper Kupp,16,372.2,23.0,11.4
4.0,Davante Adams,15,308.3,21.0,18.0
5.0,Austin Ekeler,15,296.4,20.0,7.8
7.5,Alvin Kamara,12,224.0,19.0,8.5
7.5,Najee Harris,16,297.8,19.0,9.1
7.5,Deebo Samuel,15,289.6,19.0,11.1
7.5,Joe Mixon,16,303.1,19.0,16.7
12.0,Leonard Fournette,14,245.1,18.0,9.4
12.0,Dalvin Cook,12,220.1,18.0,11.2
12.0,Ja'Marr Chase,16,294.2,18.0,11.9
12.0,Elijah Mitchell,10,180.6,18.0,12.4
12.0,Nick Chubb,13,233.7,18.0,16.9
16.0,Justin Jefferson,16,271.9,17.0,9.4
16.0,James Conner,14,233.6,17.0,10.7
16.0,Christian McCaffrey,7,118.9,17.0,13.6
18.5,David Montgomery,12,191.6,16.0,13.1
18.5,Tyreek Hill,16,248.2,16.0,16.7
23.0,Ezekiel Elliott,16,238.8,15.0,8.3
23.0,Cordarrelle Patterson,15,227.8,15.0,10.1
23.0,Cordarrelle Patterson,15,227.8,15.0,10.1
23.0,Damien Harris,14,215.9,15.0,10.6
23.0,Chris Godwin,14,204.8,15.0,11.4
23.0,Aaron Jones,15,221.1,15.0,11.4
23.0,D'Andre Swift,12,183.7,15.0,14.4
30.5,Diontae Johnson,15,215.8,14.0,5.6
30.5,Keenan Allen,15,206.6,14.0,5.9
30.5,Stefon Diggs,16,221.4,14.0,6.7
30.5,Josh Jacobs,14,195.7,14.0,7.0
30.5,Darrell Henderson Jr.,12,163.8,14.0,9.3
30.5,Tee Higgins,14,190.1,14.0,9.8
30.5,Mike Evans,15,207.7,14.0,10.4
30.5,Antonio Gibson,15,203.2,14.0,12.2
39.0,Robert Woods,9,116.5,13.0,4.0
39.0,DeAndre Hopkins,10,126.2,13.0,8.9
39.0,D.K. Metcalf,16,201.6,13.0,9.6
39.0,CeeDee Lamb,15,197.7,13.0,9.8
39.0,Brandin Cooks,15,194.9,13.0,10.7
39.0,Adam Thielen,13,169.4,13.0,12.1
39.0,Mike Williams,15,193.2,13.0,12.6
39.0,Kareem Hunt,8,104.8,13.0,12.8
39.0,Tyler Lockett,15,193.5,13.0,15.4
50.0,Javonte Williams,16,199.1,12.0,7.2
50.0,Hunter Renfrow,16,199.9,12.0,7.9
50.0,D'Onta Foreman,8,98.7,12.0,8.0
50.0,Melvin Gordon III,15,186.1,12.0,8.2
50.0,Elijah Moore,10,120.2,12.0,9.4
50.0,Amari Cooper,14,164.1,12.0,9.4
50.0,Jaylen Waddle,15,183.8,12.0,9.8
50.0,Terry McLaurin,15,175.8,12.0,9.9
50.0,Marquise Brown,15,183.7,12.0,10.0
50.0,Clyde Edwards-Helaire,10,118.9,12.0,10.2
50.0,A.J. Brown,12,143.8,12.0,11.0
50.0,James Robinson,14,173.8,12.0,13.6
50.0,Rashaad Penny,9,112.3,12.0,22.7
63.0,Michael Carter,13,149.3,11.0,7.2
63.0,DJ Moore,16,183.2,11.0,7.5
63.0,Chase Edmonds,12,134.4,11.0,7.5
63.0,Boston Scott,9,98.8,11.0,7.6
63.0,Devin Singletary,16,173.5,11.0,7.8
63.0,AJ Dillon,16,176.7,11.0,8.2
63.0,Darrel Williams,16,183.0,11.0,8.2
63.0,Russell Gage,10,105.9,11.0,8.4
63.0,Rhamondre Stevenson,11,120.7,11.0,8.4
63.0,Michael Pittman Jr.,16,183.7,11.0,9.0
63.0,Saquon Barkley,12,137.8,11.0,9.8
63.0,Amon-Ra St. Brown,15,159.8,11.0,11.4
63.0,Darnell Mooney,16,170.2,11.0,11.8
75.5,Miles Sanders,12,119.9,10.0,3.2
75.5,Jordan Howard,7,70.1,10.0,4.8
75.5,Tony Pollard,15,153.1,10.0,5.4
75.5,Jamaal Williams,12,115.1,10.0,5.8
75.5,Christian Kirk,16,165.6,10.0,6.4
75.5,DeVante Parker,8,81.3,10.0,6.4
75.5,Corey Davis,9,89.2,10.0,7.7
75.5,Myles Gaskin,16,161.8,10.0,8.3
75.5,Sony Michel,16,153.1,10.0,8.4
75.5,Jeff Wilson Jr.,6,58.9,10.0,8.4
75.5,J.D. McKissic,11,111.2,10.0,9.8
75.5,Dontrell Hilliard,6,62.6,10.0,10.9
89.0,Jakobi Meyers,15,132.1,9.0,5.2
89.0,Michael Gallup,9,77.0,9.0,5.4
89.0,Chase Claypool,14,125.7,9.0,5.5
89.0,Emmanuel Sanders,13,110.9,9.0,6.6
89.0,Rex Burkhead,11,97.7,9.0,7.6
89.0,Devonta Freeman,15,138.7,9.0,7.7
89.0,Gabriel Davis,12,106.0,9.0,7.8
89.0,Tyler Boyd,16,151.7,9.0,7.9
89.0,Kendrick Bourne,16,142.4,9.0,8.4
89.0,Van Jefferson,16,139.3,9.0,9.2
89.0,Chuba Hubbard,15,129.8,9.0,9.2
89.0,A.J. Green,15,131.5,9.0,9.9
89.0,Devontae Booker,15,134.2,9.0,10.0
89.0,Marquez Valdes-Scantling,9,77.0,9.0,10.2
89.0,DeVonta Smith,16,150.0,9.0,12.3
107.5,Jerry Jeudy,8,62.2,8.0,2.8
107.5,Rashod Bateman,10,80.3,8.0,5.4
107.5,Courtland Sutton,16,122.8,8.0,5.5
107.5,Josh Reynolds,8,64.5,8.0,5.9
107.5,D'Ernest Johnson,11,85.3,8.0,6.2
107.5,Marvin Jones Jr.,16,128.4,8.0,6.5
107.5,Mark Ingram II,14,109.1,8.0,6.8
107.5,Kalif Raymond,12,92.3,8.0,6.9
107.5,Marquez Callaway,16,131.8,8.0,6.9
107.5,Mike Davis,16,127.1,8.0,7.0
107.5,Jarvis Landry,11,90.1,8.0,7.4
107.5,Cole Beasley,15,114.2,8.0,7.6
107.5,Kenyan Drake,12,93.8,8.0,7.6
107.5,Zack Moss,12,98.4,8.0,7.9
107.5,Randall Cobb,10,77.7,8.0,8.0
107.5,Brandon Aiyuk,15,125.1,8.0,8.2
107.5,Odell Beckham Jr.,13,104.5,8.0,8.7
107.5,Tim Patrick,15,117.4,8.0,8.8
107.5,Derrick Gore,7,53.5,8.0,9.9
107.5,Allen Lazard,13,100.8,8.0,10.3
107.5,K.J. Osborn,15,125.0,8.0,11.3
107.5,Alexander Mattison,15,124.2,8.0,11.9
125.0,Julio Jones,8,53.6,7.0,1.8
125.0,Laquon Treadwell,8,56.0,7.0,2.7
125.0,Jamison Crowder,11,76.1,7.0,4.4
125.0,Kadarius Toney,9,65.4,7.0,4.9
125.0,Alex Collins,11,76.1,7.0,5.4
125.0,Latavius Murray,13,87.9,7.0,5.6
125.0,Robby Anderson,15,97.8,7.0,6.0
125.0,Cedrick Wilson Jr.,13,96.6,7.0,6.2
125.0,Deonte Harty,12,88.7,7.0,6.6
125.0,Ty'Son Williams,6,40.4,7.0,7.0
125.0,Ty Johnson,14,104.1,7.0,7.1
125.0,Kenneth Gainwell,14,91.8,7.0,7.2
125.0,Donovan Peoples-Jones,12,88.4,7.0,8.2
142.5,Laviska Shenault Jr.,15,85.9,6.0,3.2
142.5,Kenny Golladay,11,69.9,6.0,3.8
142.5,Allen Robinson II,11,62.8,6.0,3.9
142.5,Nelson Agholor,13,82.4,6.0,4.1
142.5,Sammy Watkins,9,54.9,6.0,4.3
142.5,Brandon Bolden,15,85.7,6.0,4.5
142.5,Mecole Hardman,16,92.8,6.0,4.7
142.5,Nyheim Hines,16,91.3,6.0,4.8
142.5,Peyton Barber,9,53.4,6.0,4.9
142.5,Byron Pringle,15,95.7,6.0,5.6
142.5,Rondale Moore,14,84.9,6.0,5.6
142.5,Braxton Berrios,14,90.8,6.0,5.8
142.5,Tre'Quan Smith,9,55.6,6.0,6.2
142.5,Zay Jones,14,78.4,6.0,6.6
142.5,Nick Westbrook-Ikhine,13,73.8,6.0,6.7
142.5,Bryan Edwards,13,83.9,6.0,6.9
142.5,Damien Williams,8,45.9,6.0,7.0
142.5,Justin Jackson,12,77.7,6.0,7.1
142.5,T.Y. Hilton,9,57.7,6.0,8.2
142.5,Khalil Herbert,13,83.7,6.0,8.4
142.5,Matt Breida,7,39.8,6.0,9.4
142.5,Trey Sermon,5,30.9,6.0,9.9
168.0,Joshua Palmer,13,64.0,5.0,1.5
168.0,Quez Watkins,15,78.7,5.0,2.6
168.0,Chris Conley,11,51.7,5.0,3.2
168.0,Nico Collins,12,58.9,5.0,3.3
168.0,Samaje Perine,14,75.2,5.0,3.3
168.0,Jeremy McNichols,13,63.7,5.0,3.3
168.0,Damiere Byrd,9,40.7,5.0,3.5
168.0,Jalen Guyton,14,74.2,5.0,3.6
168.0,Marquise Goodwin,10,48.1,5.0,3.6
168.0,Olamide Zaccheaus,14,68.2,5.0,3.8
168.0,Juwan Johnson,8,39.4,5.0,3.9
168.0,Brandon Zylstra,8,40.0,5.0,3.9
168.0,Ke'Shawn Vaughn,5,26.1,5.0,4.1
168.0,David Johnson,12,64.4,5.0,4.4
168.0,Tevin Coleman,10,53.3,5.0,4.4
168.0,Dare Ogunbowale,8,39.8,5.0,4.4
168.0,Zach Pascal,14,72.5,5.0,4.7
168.0,Rashard Higgins,10,45.5,5.0,4.7
168.0,Cam Sims,8,41.4,5.0,5.2
168.0,Ameer Abdullah,13,62.2,5.0,5.2
168.0,DeSean Jackson,13,69.9,5.0,5.3
168.0,James Washington,11,54.0,5.0,5.6
168.0,DeeJay Dallas,10,52.7,5.0,5.8
168.0,Freddie Swain,13,65.5,5.0,6.1
168.0,Darius Slayton,9,43.8,5.0,6.3
168.0,Jauan Jennings,10,45.8,5.0,6.6
168.0,DeAndre Carter,13,68.3,5.0,6.8
168.0,Ronald Jones II,15,80.3,5.0,6.8
168.0,Giovani Bernard,10,48.4,5.0,7.0
194.5,Alec Ingold,5,19.8,4.0,0.7
194.5,Demetric Felton,9,32.7,4.0,0.8
194.5,Demetric Felton,9,32.7,4.0,0.8
194.5,Isaiah McKenzie,11,41.9,4.0,1.3
194.5,Keelan Cole Sr.,12,52.0,4.0,1.6
194.5,Malcolm Brown,6,24.3,4.0,1.8
194.5,JaMycal Hasty,9,34.0,4.0,2.1
194.5,Chris Evans,8,29.4,4.0,2.2
194.5,Albert Wilson,9,35.9,4.0,2.6
194.5,Kendall Hinton,8,31.0,4.0,3.0
194.5,Adam Humphries,16,58.0,4.0,3.3
194.5,Travis Homer,11,46.6,4.0,3.3
194.5,Elijhaa Penny,9,31.8,4.0,3.4
194.5,Devin Duvernay,14,61.1,4.0,3.5
194.5,Chester Rogers,13,46.7,4.0,3.6
194.5,Jaret Patterson,13,52.6,4.0,3.6
194.5,Demarcus Robinson,12,53.5,4.0,4.0
194.5,Kyle Juszczyk,15,59.6,4.0,4.2
194.5,Phillip Lindsay,13,47.1,4.0,4.3
194.5,Carlos Hyde,10,43.0,4.0,4.4
194.5,Jalen Reagor,15,58.4,4.0,4.5
194.5,Tyler Johnson,12,49.3,4.0,5.0
194.5,Tavon Austin,10,37.7,4.0,5.4
194.5,Le'Veon Bell,7,29.2,4.0,6.0
215.0,KhaDarel Hodge,8,22.2,3.0,0.9
215.0,J.J. Taylor,5,16.4,3.0,1.2
215.0,Jerick McKinnon,6,17.6,3.0,1.3
215.0,Salvon Ahmed,11,38.0,3.0,1.6
215.0,Tajae Sharpe,12,35.5,3.0,1.8
215.0,Royce Freeman,11,35.2,3.0,1.8
215.0,Eno Benjamin,6,20.1,3.0,1.8
215.0,Ashton Dulin,12,39.3,3.0,2.1
215.0,Terrace Marshall Jr.,8,22.3,3.0,2.1
215.0,Marlon Mack,5,14.7,3.0,2.1
215.0,Wayne Gallman Jr.,6,15.8,3.0,2.9
215.0,Dyami Brown,8,22.2,3.0,3.7
