PlayerName,Games,Total Scoring,Average,IQR
Davante Adams,41,810.4,20.0,17.2
Ja'Marr Chase,16,294.2,18.0,11.9
Michael Thomas,23,400.2,17.0,14.4
Tyreek Hill,42,720.0,17.0,14.7
Cooper Kupp,46,791.0,17.0,15.2
Justin Jefferson,32,519.2,16.0,12.4
Calvin Ridley,32,482.3,15.0,8.4
Stefon Diggs,47,697.7,15.0,9.8
Chris Godwin,40,615.5,15.0,10.6
Mike Evans,43,639.5,15.0,10.6
DeAndre Hopkins,41,601.1,15.0,13.1
Keenan Allen,45,623.6,14.0,8.4
Deebo Samuel,37,524.6,14.0,10.6
Tyler Lockett,46,631.5,14.0,11.1
Antonio Brown,16,221.2,14.0,11.8
Tee Higgins,28,355.7,13.0,10.3
D.K. Metcalf,47,597.7,13.0,10.5
Robert Woods,40,521.6,13.0,10.9
Amari Cooper,45,594.6,13.0,11.8
Julio Jones,32,426.0,13.0,13.5
Adam Thielen,37,496.5,13.0,13.7
William Fuller V,24,307.6,13.0,15.0
A.J. Brown,42,566.7,13.0,16.6
John Brown,22,265.2,12.0,6.6
DeVante Parker,36,447.3,12.0,8.2
Elijah Moore,10,120.2,12.0,9.4
CeeDee Lamb,31,375.4,12.0,9.8
D.J. Chark Jr.,31,357.5,12.0,9.8
Jaylen Waddle,15,183.8,12.0,9.8
DJ Moore,46,571.5,12.0,10.2
Terry McLaurin,44,535.2,12.0,10.6
Brandin Cooks,41,495.5,12.0,10.9
Kenny Golladay,31,360.2,12.0,11.2
Allen Robinson II,43,501.8,12.0,11.7
Julian Edelman,22,253.6,12.0,13.0
Sterling Shepard,29,311.8,11.0,7.8
Michael Gallup,38,418.5,11.0,8.9
Marvin Jones Jr.,45,496.3,11.0,9.2
Mike Williams,44,471.9,11.0,10.2
Tyler Boyd,46,497.0,11.0,10.2
Marquise Brown,44,467.2,11.0,10.3
Amon-Ra St. Brown,15,159.8,11.0,11.4
Diontae Johnson,46,521.9,11.0,12.0
Brandon Aiyuk,27,286.2,11.0,12.8
Cole Beasley,45,444.2,10.0,7.1
Jarvis Landry,42,440.5,10.0,7.2
Alshon Jeffery,12,124.3,10.0,7.7
Chase Claypool,30,314.6,10.0,8.0
Christian Kirk,43,430.4,10.0,8.2
Odell Beckham Jr.,35,347.2,10.0,8.4
Corey Davis,35,354.7,10.0,9.6
Curtis Samuel,35,340.5,10.0,9.6
Courtland Sutton,33,322.1,10.0,9.9
Jamison Crowder,39,380.8,10.0,12.2
Jerry Jeudy,23,197.8,9.0,4.3
Golden Tate,23,197.1,9.0,6.6
T.Y. Hilton,34,297.5,9.0,6.8
Darius Slayton,37,316.0,9.0,6.9
Tyrell Williams,14,127.5,9.0,7.2
Darnell Mooney,32,290.2,9.0,8.3
Emmanuel Sanders,44,407.2,9.0,8.7
Gabriel Davis,26,228.5,9.0,8.8
Robby Anderson,47,423.2,9.0,8.9
Nelson Agholor,38,326.7,9.0,9.0
Hunter Renfrow,45,416.5,9.0,9.4
Breshad Perriman,27,237.6,9.0,9.6
Michael Pittman Jr.,29,265.9,9.0,10.0
JuJu Smith-Schuster,33,302.4,9.0,10.6
DeVonta Smith,16,150.0,9.0,12.3
Travis Fulgham,11,99.9,9.0,12.3
Jakobi Meyers,38,286.5,8.0,4.0
Sammy Watkins,31,235.6,8.0,5.2
Rashod Bateman,10,80.3,8.0,5.4
Taylor Gabriel,9,76.1,8.0,6.1
Larry Fitzgerald,29,217.8,8.0,6.5
John Ross,16,123.6,8.0,6.7
Randall Cobb,35,290.5,8.0,6.7
A.J. Green,26,219.3,8.0,8.1
Tim Patrick,35,291.9,8.0,8.3
Russell Gage,39,321.3,8.0,8.8
Donovan Peoples-Jones,18,137.8,8.0,9.0
Allen Lazard,34,273.7,8.0,9.4
K.J. Osborn,15,125.0,8.0,11.3
Marquez Valdes-Scantling,33,273.5,8.0,13.3
Danny Amendola,34,225.3,7.0,4.6
Kadarius Toney,9,65.4,7.0,4.9
Laviska Shenault Jr.,29,215.8,7.0,5.4
Preston Williams,20,148.5,7.0,5.8
Cedrick Wilson Jr.,22,145.2,7.0,6.1
Rashard Higgins,25,164.4,7.0,6.1
Chris Conley,40,260.8,7.0,6.2
James Washington,36,250.7,7.0,6.3
Kendrick Bourne,45,326.4,7.0,6.3
Henry Ruggs III,20,146.8,7.0,6.6
Zach Pascal,43,306.4,7.0,6.6
DeSean Jackson,20,143.2,7.0,6.7
Greg Ward,26,180.5,7.0,6.8
Tre'Quan Smith,30,204.2,7.0,6.9
Marquez Callaway,22,163.6,7.0,7.0
Van Jefferson,25,176.8,7.0,7.0
Phillip Dorsett II,14,101.2,7.0,7.2
Cordarrelle Patterson,42,312.9,7.0,9.8
Byron Pringle,26,156.2,6.0,4.7
Demaryius Thomas,11,67.3,6.0,5.0
Josh Reynolds,34,212.8,6.0,5.0
Rondale Moore,14,84.9,6.0,5.6
Kalif Raymond,23,141.4,6.0,5.8
Marcus Johnson,18,110.2,6.0,5.8
Richie James Jr.,12,73.5,6.0,5.8
Keke Coutee,17,106.5,6.0,6.0
Keelan Cole Sr.,39,243.8,6.0,6.1
Quintez Cephus,16,96.8,6.0,6.8
Anthony Miller,32,199.5,6.0,6.9
Mecole Hardman,45,285.7,6.0,7.6
Kenny Stills,23,145.0,6.0,8.0
Scotty Miller,21,128.5,6.0,8.1
